robot_type,number_of_bases,number_of_robots,number_of_matters,number_of_dropped_matters_in_base,cycle
cognitive,1,5,5,5,60353
cognitive,1,5,5,5,58905
cognitive,1,5,5,5,49277
cognitive,1,5,5,5,31498
cognitive,1,5,5,5,40935
cognitive,1,5,10,10,83213
cognitive,1,5,10,10,72260
cognitive,1,5,10,10,54415
cognitive,1,5,10,10,72440
cognitive,1,5,10,10,83730
cognitive,1,10,10,10,27628
cognitive,1,10,10,10,50863
cognitive,1,10,10,10,44527
cognitive,1,10,10,10,34898
cognitive,1,10,10,10,28825
cognitive,1,10,15,15,76250
cognitive,1,10,15,15,76602
cognitive,1,10,15,15,43727
cognitive,1,10,15,15,61698
cognitive,1,10,15,15,24099
cognitive,1,20,20,20,21261
cognitive,1,20,20,20,44839
cognitive,1,20,20,20,23767
cognitive,1,20,20,20,36942
cognitive,1,20,20,20,72833
cognitive,1,20,40,40,17351
cognitive,1,20,40,40,26322
cognitive,1,20,40,40,55909
cognitive,1,20,40,40,30860
cognitive,1,20,40,40,38327
cognitive,1,25,5,5,24255
cognitive,1,25,5,5,4144
cognitive,1,25,5,5,14712
cognitive,1,25,5,5,25554
cognitive,1,25,5,5,14883
cognitive,1,25,100,100,53578
cognitive,1,25,100,100,34776
cognitive,1,25,100,100,61955
cognitive,1,25,100,100,74627
cognitive,1,25,100,100,54031
cognitive,1,50,100,100,14635
cognitive,1,50,100,100,12586
cognitive,1,50,100,100,15905
cognitive,1,50,100,100,23308
cognitive,1,50,100,100,12141
cognitive,1,50,200,200,34418
cognitive,1,50,200,200,35261
cognitive,1,50,200,200,28552
cognitive,1,50,200,200,19916
cognitive,1,50,200,200,31601
